#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTNAME_ATTILA_001;The Birth of Normandy;;;;;;;;;;;;;x
EVTDESC_ATTILA_001;Traditionally known as Armorica, the northwest corner of Gaul is now increasingly dominated and settled by Norsemen and their followers. This had led to 'Armorica' slipping from common talk about the region, being replaced with 'Normannia'- Normandy.;;;;;;;;;;;;;x
EVTOPTA_ATTILA_001;Long live Normandy!;;;;;;;;;;;;;x
EVTOPTB_ATTILA_001;A new land for our brothers?;;;;;;;;;;;;;x
EVTOPTC_ATTILA_001;Interesting;;;;;;;;;;;;;x
EVTNAME_ATTILA_002;The Birth of Brittany;;;;;;;;;;;;;x
EVTDESC_ATTILA_002;For centuries, there have been minor colonies of Britons along the northern coast of Gaul. Sometimes refugees, sometimes adventurers, all of them have nonetheless left their mark on the land. Although the region they settled was normally called the Saxon Shore in Roman Times, and more recently known simply as Rotomagus, after its most major city, the region is now being called Brittany, after all the Britons who now live there.;;;;;;;;;;;;;x
EVTOPTA_ATTILA_002;And now, leave Brittany alone!;;;;;;;;;;;;;x
EVTOPTB_ATTILA_002;A new land for our brothers!;;;;;;;;;;;;;x
EVTOPTC_ATTILA_002;Okay then;;;;;;;;;;;;;x
EVTNAME_ATTILA_004;The Knights of St. Sabbas;;;;;;;;;;;;;x
EVTDESC_ATTILA_004;With Christendom imperiled by heathenry, the Presbyter of Rome has decreed the formation of the Brotherhood of Fellow-Soldiers of Saint Sabbas the Goth, more commonly known as the Knights of St. Sabbas. These men are devout Arian Christians who have devoted their lives to the protection of Christian pilgrims, but they are willing to assist zealous realms in the spread of Arian Christianity when called by a lord to do so.;;;;;;;;;;;;;x
EVTOPTA_ATTILA_004;Hurrah for the men of St. Sabbas!;;;;;;;;;;;;;x
EVTOPTB_ATTILA_004;Another nuisance!;;;;;;;;;;;;;x
EVTOPTC_ATTILA_004;Interesting;;;;;;;;;;;;;x
EVTDESC_ATTILA_5;Under Latin influence, the Gothic population in the province of [Root.GetName] have now adopted new speech and new customs, becoming neither quite [Root.Culture.GetName] nor Gothic in culture, but instead becoming unique to the Italian Peninsula. They are now call themselves 'Taurinjeis' in their own tongue, after the ancient Taurini people who once lived in that part of Italia.;;;;;;;;;;;x
EVTOPTA_ATTILA_5;New times, new customs.;Temps nouveaux, coutumes nouvelles.;Die Zeiten ändern sich. Und auch die Sitten.;;Nuevos tiempos, nuevas costumbres.;;;;;;;;;x;;
EVTDESC_Plus_650;For as long as we westerners have lived here we have relied upon our servants and vassals from the Orient, and our two cultures have blended until we are no longer entirely Latin or Semitic, but something new altogether.;Aussi longtemps que nous ayons vécu ici, nous avons compté sur nos serviteurs et vassaulx arabes. Nos deulx cultures se sont mélangées jusqu'à créer quelque chose de tout à fait nouveau.;Solange wir Lateiner hier gelebt haben, haben wir auf unsere arabischen Diener und Vasallen verlassen, und unsere Kulturen haben sich so vermischt, bis wir nicht mehr ganz Lateinisch oder Arabisch waren, sondern etwas ganz Neues wurde.;;For as long as we westerners have lived here we have relied upon our Arabic servants and vassals, and our two cultures have blended until we are no longer entirely Latin or Arabic, but something new altogether.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA_Plus_650;Yes, let us adopt this new Ultramarini identity;Oui, unissons nous à nos cerfs.;Ja, lasst uns eins mit unseren Leibeigenen sein.;;Yes, let us adopt this new Ultramarini identity;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC_Plus_651;I have persuaded my courtier to embrace the notion of an Ultramarini culture that is sweeping across the realm.;J'ai convaincu mon courtisan d'embrasser la notion de culture d'Outremer qui déferle sur le royaume.;Ich habe meinen Höfling davon überzeugt dieser Vorstellung von einem Outremerischer Kultur, das sich schon im ganzen Reich kehrt, zu umarmen.;;I have persuaded my courtier to embrace the notion of an Outremer culture that is sweeping across the realm.;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC_Plus_652;I have persuaded my vassal to embrace the notion of an Ultramarini culture that is sweeping across the realm.;J'ai persuadé mon vassal d'embrasser la notion de culture d'Outremer qui déferle sur le royaume.;Ich habe meinen Vassal davon überzeugt dieser Vorstellung von einem Outremerischer Kultur, das sich schon im ganzen Reich kehrt, zu umarmen.;;I have persuaded my vassal to embrace the notion of an Outremer culture that is sweeping across the realm.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
establish_arian_supremacy;Establish Arian Supremacy;;;;;;;;;;;;;x
establish_arian_supremacy_desc;For too long, the Arian faith has been disunited and lacking in leadership. Normally no one would accept a single figure as head of the faith, but if we could establish an Arian see in Rome, the priest who rules there would be respected and heeded by the general Arian clergy.;;;;;;;;;;;;;x
claim_nova_carthago;Claim Nova Carthago;;;;;;;;;;;;;x
claim_nova_carthago_desc;A Roman Emperor without Nova Carthago is like a Roman Empire without an emperor. It's madness! Our realm's traditional capital must be retaken!;;;;;;;;;;;;;x
